QuoteNumber,QuoteConversion_Flag
3,0
5,0
7,0
9,0
10,1
11,1
15,0
16,1
17,0
21,1
23,0
24,1
27,0
31,1
33,1
34,0
36,0
39,1
42,1
43,0
46,0
48,0
49,1
52,0
54,0
55,1
56,0
58,1
60,1
61,0
63,0
67,1
68,1
69,1
75,1
81,0
82,0
98,0
100,0
107,1
108,0
110,0
113,1
115,1
116,0
119,1
120,0
122,1
125,1
130,1
132,0
135,1
137,0
138,0
144,1
145,0
146,0
150,0
155,0
158,0
159,0
160,1
162,0
163,0
164,1
165,1
168,1
172,1
173,1
174,0
175,0
176,1
178,0
181,0
183,0
190,1
198,0
200,1
201,1
204,1
205,0
207,0
210,1
211,0
213,0
215,0
218,0
222,0
223,1
227,0
228,1
231,1
238,1
241,0
245,1
253,0
257,0
263,1
264,0
265,0
274,0
275,1
276,0
279,0
280,0
282,0
283,1
285,0
289,0
290,0
292,0
294,0
301,0
304,0
307,0
309,1
310,1
311,0
312,1
314,0
316,0
318,1
321,0
326,1
330,0
331,1
332,0
333,0
337,1
338,1
339,0
340,1
344,1
346,1
348,0
349,0
350,1
351,0
352,0
355,0
358,1
361,1
363,0
364,0
365,0
366,0
367,0
368,0
371,0
374,1
378,0
380,1
382,0
385,1
390,0
393,1
401,1
402,0
403,1
407,1
408,1
409,1
410,1
412,0
416,1
424,1
425,1
427,1
430,0
438,1
439,1
441,1
447,1
449,0
452,0
453,0
457,1
464,1
465,1
467,0
468,0
469,1
470,1
473,0
474,1
475,0
476,0
479,1
480,0
481,1
484,1
487,0
494,0
495,1
496,0
498,0
500,1
504,1
505,0
512,1
513,0
516,0
519,0
525,0
527,0
530,0
532,0
536,1
539,0
541,1
542,1
543,1
544,1
547,0
551,0
552,1
555,0
557,1
563,1
568,0
569,1
571,0
574,0
575,0
580,0
581,0
595,1
598,1
599,1
600,0
602,1
603,0
609,0
611,0
614,0
615,1
620,0
624,0
625,1
628,1
633,1
640,1
642,0
646,0
648,0
652,1
656,0
657,0
658,1
659,0
663,0
664,1
668,0
669,0
671,1
673,1
675,1
677,0
684,0
686,0
687,0
691,0
693,1
694,0
695,0
696,1
699,1
701,0
702,0
703,1
705,0
706,1
710,0
711,1
713,0
717,1
718,1
720,0
721,0
725,1
726,0
729,0
733,0
739,0
740,0
744,0
745,1
750,0
753,0
754,1
758,0
759,0
762,1
764,1
767,0
769,0
773,0
774,1
777,0
778,1
779,1
785,0
789,0
790,1
791,0
793,0
794,1
797,0
798,1
799,1
800,0
801,0
807,0
808,0
814,0
815,1
816,1
817,1
819,0
821,1
822,1
823,0
829,1
833,0
834,0
836,1
837,0
842,1
843,0
846,1
847,1
854,0
855,1
857,1
859,1
860,1
861,0
862,1
867,0
868,0
870,0
872,0
875,0
878,1
879,0
881,1
882,0
883,0
884,1
885,1
886,0
890,0
891,0
898,1
899,1
900,1
902,0
903,0
905,0
906,0
913,0
915,1
918,0
923,0
926,0
928,1
929,0
930,0
933,0
936,1
938,1
944,1
949,1
953,1
954,0
955,1
956,1
957,0
960,0
963,1
964,1
966,0
967,0
972,0
973,0
975,1
976,1
977,1
979,0
982,1
984,0
985,0
995,0
996,1
999,1
1001,0
1004,1
1005,0
1009,0
1010,1
1011,1
1012,1
1014,1
1015,1
1016,1
1018,0
1019,1
1020,1
1024,0
1025,1
1028,0
1030,0
1032,1
1035,0
1037,1
1038,0
1042,0
1043,1
1053,1
1055,0
1057,0
1059,0
1061,1
1067,0
1069,0
1073,0
1075,1
1077,0
1078,0
1079,0
1080,1
1082,0
1083,0
1086,0
1089,0
1090,1
1098,0
1099,0
1102,1
1103,1
1104,0
1105,1
1106,0
1115,1
1118,1
1124,0
1130,0
1134,1
1135,1
1137,0
1142,0
1143,0
1144,0
1147,0
1155,1
1156,0
1158,0
1160,0
1162,1
1168,0
1169,1
1170,0
1171,0
1172,1
1178,1
1179,1
1181,0
1183,0
1187,1
1188,1
1190,0
1191,0
1193,1
1195,0
1203,0
1204,0
1208,1
1216,0
1221,1
1223,1
1225,0
1229,0
1231,1
1233,0
1238,0
1240,1
1242,0
1243,0
1244,1
1245,1
1250,0
1251,0
1257,1
1260,0
1261,1
1282,1
1283,0
1285,0
1286,0
1287,0
1288,1
1290,0
1291,0
1293,1
1294,1
1300,1
1309,0
1310,0
1312,1
1314,0
1315,1
1317,0
1321,1
1325,1
1331,0
1334,1
1335,1
1337,0
1339,0
1340,0
1349,0
1350,1
1352,0
1356,1
1359,0
1362,0
1364,0
1365,0
1367,0
1368,1
1369,0
1370,0
1371,0
1372,0
1374,1
1380,0
1382,0
1384,0
1385,0
1386,1
1388,1
1389,0
1390,0
1391,1
1392,0
1393,0
1395,1
1399,1
1400,0
1405,0
1406,0
1407,0
1410,0
1413,1
1415,1
1417,1
1418,1
1419,1
1420,1
1422,0
1423,1
1424,1
1426,0
1427,1
1429,0
1431,0
1433,0
1438,1
1440,0
1442,1
1448,1
1449,0
1451,0
1453,1
1454,0
1455,0
1458,0
1459,0
1460,0
1461,1
1465,0
1466,0
1470,1
1474,1
1475,1
1476,0
1478,1
1479,0
1483,1
1485,0
1488,0
1490,0
1492,0
1493,1
1500,0
1505,0
1506,0
1510,0
1511,0
1513,0
1518,0
1523,0
1528,1
1538,0
1543,1
1545,0
1546,0
1547,1
1549,0
1551,0
1558,1
1561,1
1563,0
1564,1
1568,0
1574,0
1575,0
1576,0
1578,0
1581,0
1582,0
1583,1
1586,0
1588,1
1589,1
1593,1
1594,0
1595,0
1605,0
1607,0
1608,0
1610,0
1614,0
1616,0
1617,1
1630,1
1631,1
1632,1
1636,0
